start-date,end-date,sport,event,venue,
2019-08-24,2019-08-24,CYCLING,Vuelta a Espana,Spain,
2019-08-24,2019-08-24,RUGBY LEAGUE,Challenge Cup final,Wembley,
2019-08-24,2019-08-24,RUGBY UNION,Tests: England v Ireland and Scotland v France,,
2019-08-25,2019-08-25,MOTOR CYCLING,MotoGP,Silverstone,
2019-08-26,2019-09-08,TENNIS,US Open,Flushing Meadows,
2019-08-29,2019-08-29,ATHLETICS,Diamond League,Zurich,
2019-08-31,2019-08-31,RUGBY UNION,Tests: Georgia v Scotland and Wales v Ireland,,
2019-09-01,2019-09-01,MOTOR RACING,Belgian Grand Prix,Spa-Francorchamps,
2019-09-04,2019-09-07,ATHLETICS,Diamond League,Brussels,
2019-09-04,2019-09-08,CRICKET,Fourth Test: England v Australia,Old Trafford,
2019-09-06,2019-09-06,RUGBY UNION,Tests: England v Italy and Scotland v Georgia,,
2019-09-07,2019-09-07,RUGBY UNION,Test: Ireland v Wales,,
2019-09-07,2019-09-08,MOTOR CYCLING,World Superbikes,Portimao,
2019-09-08,2019-09-08,MOTOR RACING,Italian Grand Prix,Monza,
2019-09-08,2019-09-10,FOOTBALL,Euro 2020 qualifying matchday six,,
2019-09-12,2019-09-15,MOTOR RACING,Turkish Rally,,
2019-09-12,2019-09-16,CRICKET,Fifth Test: England v Australia,The Oval,
2019-09-13,2019-09-15,GOLF,Solheim Cup,Gleneagles,
2019-09-15,2019-09-15,MOTOR CYCLING,MotoGP,Misano,
2019-09-15,2019-09-15,RUGBY LEAGUE,Final round of Super League fixtures,,
2019-09-20,2019-11-02,RUGBY UNION,World Cup,Japan,
2019-09-21,2019-09-21,CRICKET,Vitality Blast finals day,Edgbaston,
2019-09-22,2019-09-22,MOTOR CYCLING,MotoGP,Alcaniz,
2019-09-22,2019-09-22,MOTOR RACING,Singapore Grand Prix,,
2019-09-22,2019-09-22,RUGBY UNION,World Cup: England v Tonga,Sapporo,
2019-09-26,2019-09-26,CRICKET,Final round of County Championship season,,
2019-09-26,2019-09-26,GOLF,Alfred Duhill Links Championship,,
2019-09-26,2019-09-26,RUGBY UNION,World Cup: England v USA,Kobe,
2019-09-28,2019-09-29,MOTOR CYCLING,World Superbikes,Magny-Cours,
2019-09-28,2019-10-06,ATHLETICS,World Championships,Doha,
2019-09-29,2019-09-29,MOTOR RACING,Russian Grand Prix,Sochi,
2019-10-03,2019-10-06,MOTOR RACING,Rally GB,,
2019-10-05,2019-10-05,RUGBY UNION,World Cup: England v Argentina,Tokyo,
2019-10-06,2019-10-06,MOTOR CYCLING,MotoGP,Buriram,
2019-10-10,2019-10-12,FOOTBALL,Euro 2020 qualifying matchday seven,,
2019-10-12,2019-10-12,RUGBY LEAGUE,Super League Grand Final,Old Trafford,
2019-10-12,2019-10-12,RUGBY UNION,World Cup: England v France,Yokohoma,
2019-10-12,2019-10-13,MOTOR CYCLING,World Superbikes,San Juan,
2019-10-13,2019-10-13,MOTOR RACING,Japanese Grand Prix,Suzuka,
2019-10-13,2019-10-15,FOOTBALL,Euro 2020 qualifying matchday eight,,
2019-10-20,2019-10-20,MOTOR CYCLING,MotoGP,Motegui,
2019-10-24,2019-10-27,MOTOR RACING,Spanish Rally,tbc,
2019-10-25,2019-10-26,MOTOR CYCLING,World Superbikes,tbc,
2019-10-27,2019-10-27,MOTOR RACING,Mexican Grand Prix,,
2019-10-27,2019-10-27,MOTOR CYCLING,MotoGP,Melbourne,
2019-10-27,2019-11-03,TENNIS,WTA Finals,Shenzhen,
2019-10-28,2019-11-03,TENNIS,Paris Masters,,
2019-10-31,2019-11-03,CYCLING,UCI Track Cycling World Cup,Minsk,
2019-11-03,2019-11-03,MOTOR RACING,United States Grand Prix,Austin,
2019-11-03,2019-11-03,MOTOR CYCLING,MotoGP,Selangor,
2019-11-07,2019-11-15,PARALYMPICS,World Championships,Dubai,
2019-11-08,2019-11-10,CYCLING,UCI Track Cycling World Cup,Glasgow,
2019-11-09,2019-11-10,TENNIS,Fed Cup final,,
2019-11-11,2019-11-17,TENNIS,ATP Tour Finals,London,
2019-11-14,2019-11-16,FOOTBALL,Euro 2020 qualifying matchday nine,,
2019-11-17,2019-11-17,MOTOR RACING,Brazilian Grand Prix,Sao Paulo,
2019-11-17,2019-11-17,MOTOR CYCLING,MotoGP,Valencia,
2019-11-17,2019-11-19,FOOTBALL,Euro 2020 qualifying matchday 10,,
2019-11-18,2019-11-24,TENNIS,Davis Cup finals,Madrid,
2019-12-01,2019-12-01,MOTOR RACING,Abu Dhabi Grand Prix,Yas Marina,
2019-12-12,2019-12-12,RUGBY UNION,Varsity match,Twickenham,
